"id_trecho_,N,10,0","vl_br,C,3","sg_uf,C,2","nm_tipo_tr,C,254","sg_tipo_tr,C,1","desc_coinc,C,254","vl_codigo,C,20","ds_local_i,C,254","ds_local_f,C,254","vl_km_inic,N,19,8","vl_km_fina,N,19,8","vl_extensa,N,19,8","ds_sup_fed,C,254","ds_obra,C,3","ul,C,254","ds_coinc,C,254","ds_tipo_ad,C,254","ds_ato_leg,C,254","est_coinc,C,254","sup_est_co,C,254","ds_jurisdi,C,254","ds_superfi,C,254","ds_legenda,C,254","sg_legenda,C,254","leg_multim,C,254","versao_snv,C,15","id_versao,N,10,0","marcador,C,254"
151852,101,BA,Eixo Principal,B,-,101BBA1850,ENTR BA-676 (P/ARATACA),ENTR BR-101/251/BA-270 (ACESSO NORTE CAMACAN),566.9,584.2,17.3,PAV,,Itabuna,101BBA1850;251BBA0036,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151853,101,BA,Eixo Principal,B,-,101BBA1870,ENTR BR-101/251/BA-270 (ACESSO NORTE CAMACAN),ENTR BA-270 (P/ CANAVIEIRAS),584.2,590.5,6.3,PAV,,Itabuna,101BBA1870,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151854,101,BA,Eixo Principal,B,-,101BBA1890,ENTR BA-270 (P/ CANAVIEIRAS),ENTR BA-678 (P/ MASCOTE),590.5,597.9,7.4,PAV,,Itabuna,101BBA1890,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151855,101,BA,Eixo Principal,B,-,101BBA1892,ENTR BA-678 (P/ MASCOTE),ENTR BA-680 (P/ POTIRAGUÁ),597.9,634.6,36.7,PAV,,Itabuna,101BBA1892,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151856,101,BA,Eixo Principal,B,-,101BBA1894,ENTR BA-680 (P/ POTIRAGUÁ),ENTR BA-274 (P/ SANTA MARIA ETERNA),634.6,648.5,13.9,PAV,,Itabuna,101BBA1894,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151857,101,BA,Eixo Principal,B,-,101BBA1896,ENTR BA-274 (P/ SANTA MARIA ETERNA),ENTR BA-275 (P/ITABEPI),648.5,665.1,16.6,PAV,,Itabuna,101BBA1896,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151858,101,BA,Eixo Principal,B,-,101BBA1910,ENTR BA-275 (P/ITABEPI),ENTR BR-101/367/BA-275 (ITAGIMIRIM),665.1,679.8,14.7,PAV,,Eunápolis,101BBA1910,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151859,101,BA,Eixo Principal,B,-,101BBA1912,ENTR BR-101/367/BA-275 (ITAGIMIRIM),ENTR BA-985 (MUNDO NOVO),679.8,702.7,22.9,PAV,,Eunápolis,101BBA1912;367BBA0040,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151860,101,BA,Eixo Principal,B,-,101BBA1914,ENTR BA-985 (MUNDO NOVO),ENTR BR-101/367 (EUNÁPOLIS) (P/ PORTO SEGURO),702.7,717.6,14.9,PAV,,Eunápolis,101BBA1914;367BBA0030,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151861,101,BA,Eixo Principal,B,-,101BBA1930,ENTR BR-101/367 (EUNÁPOLIS) (P/ PORTO SEGURO),ENTR BA-283 (ITABELA),717.6,744.8,27.2,PAV,,Eunápolis,101BBA1930,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151862,101,BA,Eixo Principal,B,-,101BBA1932,ENTR BA-283 (ITABELA),ENTR BR-101/498,744.8,793.3,48.5,PAV,,Eunápolis,101BBA1932,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151863,101,BA,Eixo Principal,B,-,101BBA1950,ENTR BR-101/498,ENTR BR-101/489 (ITAMARAJU),793.3,808.3,15,PAV,,Eunápolis,101BBA1950,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151864,101,BA,Eixo Principal,B,-,101BBA1970,ENTR BR-101/489 (ITAMARAJU),ENTR BA-284 (P/ JUCURUÇÚ),808.3,813,4.7,PAV,,Eunápolis,101BBA1970,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151865,101,BA,Eixo Principal,B,-,101BBA1971,ENTR BA-284 (P/ JUCURUÇÚ),ENTR BA-290 (TEIXEIRA DE FREITAS) (P/ ALCOBAÇA),813,874.8,61.8,PAV,,Eunápolis,101BBA1971,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151866,101,BA,Eixo Principal,B,-,101BBA1990,ENTR BA-290 (TEIXEIRA DE FREITAS) (P/ ALCOBAÇA),ENTR BR-101/418 (P/ CARAVELAS),874.8,919.7,44.9,PAV,,Eunápolis,101BBA1990,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151867,101,BA,Eixo Principal,B,-,101BBA2010,ENTR BR-101/418 (P/ CARAVELAS),ENTR BA-698 (P/MUCURI),919.7,938.6,18.9,PAV,,Eunápolis,101BBA2010,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151868,101,BA,Eixo Principal,B,-,101BBA2012,ENTR BA-698 (P/MUCURI),DIV BA/ES,938.6,956.1,17.5,PAV,,Eunápolis,101BBA2012,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151869,101,ES,Eixo Principal,B,-,101BES2030,DIV BA/ES,ENTR BR-101/439/ES-209 (PEDRO CANÁRIO),0,16.2,16.2,PAV,,Vitória,101BES2030,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151870,101,ES,Eixo Principal,B,-,101BES2050,ENTR BR-101/439/ES-209 (PEDRO CANÁRIO),ENTR ES-416 (BRAÇO DO RIO),16.2,32.4,16.2,PAV,,Vitória,101BES2050,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151871,101,ES,Eixo Principal,B,-,101BES2070,ENTR ES-416 (BRAÇO DO RIO),ENTR ES-313 (P/PINHEIROS),32.4,37.6,5.2,PAV,,Vitória,101BES2070,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151872,101,ES,Eixo Principal,B,-,101BES2075,ENTR ES-313 (P/PINHEIROS),ENTR ES-421 (P/CONCEIÇÃO DA BARRA),37.6,49.7,12.1,PAV,,Vitória,101BES2075,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151873,101,ES,Eixo Principal,B,-,101BES2090,ENTR ES-421 (P/CONCEIÇÃO DA BARRA),ENTR ES-315 (P/JACARANDÁ),49.7,60.6,10.9,PAV,,Vitória,101BES2090,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151874,101,ES,Eixo Principal,B,-,101BES2120,ENTR ES-315 (P/JACARANDÁ),ENTR BR-381 (SÃO MATEUS),60.6,64.9,4.3,PAV,,Vitória,101BES2120,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151875,101,ES,Eixo Principal,B,-,101BES2130,ENTR BR-381 (SÃO MATEUS),ENTR ES-430 (P/JAGUARÉ),64.9,94.2,29.3,PAV,,Vitória,101BES2130,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151876,101,ES,Eixo Principal,B,-,101BES2135,ENTR ES-430 (P/JAGUARÉ),ENTR BR-101/342 (SOORETAMA),94.2,126.1,31.9,PAV,,Vitória,101BES2135,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151877,101,ES,Eixo Principal,B,-,101BES2150,ENTR BR-101/342 (SOORETAMA),ENTR ES-358 (P/LAGOA),126.1,135.9,9.8,PAV,,Vitória,101BES2150;342BES0340,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151878,101,ES,Eixo Principal,B,-,101BES2170,ENTR ES-358 (P/LAGOA),ENTR BR-101/342/ES-245/248 (LINHARES),135.9,150.5,14.6,PAV,,Vitória,101BES2170;342BES0350,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151879,101,ES,Eixo Principal,B,-,101BES2190,ENTR BR-101/342/ES-245/248 (LINHARES),ENTR ES-245,150.5,151.7,1.2,PAV,,Vitória,101BES2190,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151880,101,ES,Eixo Principal,B,-,101BES2195,ENTR ES-245(B),ENTR ES-440,151.7,159.2,7.5,PAV,,Vitória,101BES2195,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151881,101,ES,Eixo Principal,B,-,101BES2198,ENTR ES-440,ENTR ES-124 (GUARANÁ),159.2,190.5,31.3,PAV,,Vitória,101BES2198,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151882,101,ES,Eixo Principal,B,-,101BES2210,ENTR ES-124 (GUARANÁ),ENTR BR-101/259 (JOÃO NEIVA),190.5,203.6,13.1,PAV,,Vitória,101BES2210,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
164659,101,ES,Eixo Principal,B,-,101BES2230,ENTR BR-101/259 (JOÃO NEIVA),ENTR ES-257 (IBIRAÇU),203.6,214.1,10.5,PAV,,Vitória,101BES2230,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151884,101,ES,Eixo Principal,B,-,101BES2250,ENTR ES-257 (IBIRAÇU),ENTR ES-261 (FUNDÃO),214.1,229.6,15.5,PAV,,Vitória,101BES2250,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151885,101,ES,Eixo Principal,B,-,101BES2270,ENTR ES-261 (FUNDÃO),ENTR ES-264,229.6,238.6,9,PAV,,Vitória,101BES2270,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151886,101,ES,Eixo Principal,B,-,101BES2290,ENTR ES-264,CONTORNO MESTRE ÁLVARO (ACESSO NORTE SERRA),238.6,247.6,9,PAV,,Vitória,101BES2290,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151887,101,ES,Eixo Principal,B,-,101BES2300,CONTORNO MESTRE ÁLVARO (ACESSO NORTE SERRA),INÍCIO DUPLICAÇÃO,247.6,256.5,8.9,PAV,,Vitória,101BES2300,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
164658,101,ES,Eixo Principal,B,-,101BES2305,INÍCIO DUPLICAÇÃO,ENTR ES-010 (P/LARANJEIRAS),256.5,269,12.5,DUP,,Vitória,101BES2305,Concessão Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada Concessão/Convênio,202507A,80,|
151888,101,ES,Eixo Principal,B,-,101BES2310,ENTR ES-010 (P/LARANJEIRAS),ENTR ES-010 (CARAPINA),269,271,2,DUP,,Vitória,101BES2310,Concessão Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada Concessão/Convênio,202507A,80,|
151889,101,ES,Eixo Principal,B,-,101BES2320,ENTR ES-010 (CARAPINA),CONTORNO MESTRE ÁLVARO (ACESSO OESTE SERRA),271,278.9,7.9,DUP,,Vitória,101BES2320,Concessão Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada Concessão/Convênio,202507A,80,|
164660,101,ES,Eixo Principal,B,-,101BES2330,CONTORNO MESTRE ÁLVARO (ACESSO OESTE SERRA),ENTR ES-080 (TABAJARA),278.9,291.6,12.7,DUP,,Vitória,101BES2330,Concessão Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada Concessão/Convênio,202507A,80,|
151890,101,ES,Eixo Principal,B,-,101BES2350,ENTR ES-080 (TABAJARA),ENTR BR-101/262 (COMPLEXO RODOVIÁRIO - CARIACICA),291.6,296.5,4.9,DUP,,Vitória,101BES2350,Concessão Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada Concessão/Convênio,202507A,80,|
151891,101,ES,Eixo Principal,B,-,101BES2370,ENTR BR-101/262 (COMPLEXO RODOVIÁRIO - CARIACICA),ENTR BR-101/262,296.5,305.3,8.8,DUP,,Vitória,101BES2370;262BES0050,Concessão Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada Concessão/Convênio,202507A,80,|
151892,101,ES,Eixo Principal,B,-,101BES2390,ENTR BR-101/262,ENTR ES-388,305.3,321.2,15.9,PAV,,Vitória,101BES2390,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151893,101,ES,Eixo Principal,B,-,101BES2395,ENTR ES-388,ENTR ES-060 (P/PRAIA DO SOL),321.2,321.5,0.3,PAV,,Vitória,101BES2395,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151894,101,ES,Eixo Principal,B,-,101BES2397,ENTR ES-060 (P/PRAIA DO SOL),ENTR ES-060 (P/GUARAPARI),321.5,335.2,13.7,PAV,,Vitória,101BES2397,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151895,101,ES,Eixo Principal,B,-,101BES2410,ENTR ES-060 (P/GUARAPARI),ENTR ES-481,335.2,343.7,8.5,PAV,,Vitória,101BES2410,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151896,101,ES,Eixo Principal,B,-,101BES2420,ENTR ES-481,ENTR ES-146 (JABAQUARA),343.7,354.5,10.8,PAV,,Vitória,101BES2420,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151897,101,ES,Eixo Principal,B,-,101BES2430,ENTR ES-146 (JABAQUARA),ENTR ES-146 (P/ALFREDO CHAVES),354.5,357.8,3.3,PAV,,Vitória,101BES2430,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151898,101,ES,Eixo Principal,B,-,101BES2450,ENTR ES-146 (P/ALFREDO CHAVES),ENTR ES-375 (P/PIÚMA),357.8,370.6,12.8,PAV,,Vitória,101BES2450,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151899,101,ES,Eixo Principal,B,-,101BES2470,ENTR ES-375 (P/PIÚMA),INÍCIO TRAVESSIA URBANA DE ICONHA,370.6,374.1,3.5,PAV,,Vitória,101BES2470,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151900,101,ES,Eixo Principal,B,-,101BES2480,INÍCIO TRAVESSIA URBANA DE ICONHA,FIM TRAVESSIA URBANA DE ICONHA,374.1,380.6,6.5,DUP,,Vitória,101BES2480,Concessão Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada Concessão/Convênio,202507A,80,|
162045,101,ES,Eixo Principal,B,-,101BES2490,FIM TRAVESSIA URBANA DE ICONHA,ENTR ES-487 (P/ITAPEMIRIM),380.6,394,13.4,PAV,,Vitória,101BES2490,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151901,101,ES,Eixo Principal,B,-,101BES2510,ENTR ES-487 (P/ITAPEMIRIM),ENTR ES-488,394,404.2,10.2,PAV,,Vitória,101BES2510,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151902,101,ES,Eixo Principal,B,-,101BES2530,ENTR ES-488,ENTR BR-101/482/ES-490,404.2,415.8,11.6,PAV,,Vitória,101BES2530,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151903,101,ES,Eixo Principal,B,-,101BES2550,ENTR BR-101/482/ES-490,ENTR ES-162 (P/PRESIDENTE KENNEDY),415.8,423,7.2,PAV,,Vitória,101BES2550,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151904,101,ES,Eixo Principal,B,-,101BES2570,ENTR ES-162 (P/PRESIDENTE KENNEDY),ENTR ES-289 (P/ATÍLIO VIVACQUA),423,428.3,5.3,PAV,,Vitória,101BES2570,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151905,101,ES,Eixo Principal,B,-,101BES2590,ENTR ES-289 (P/ATÍLIO VIVACQUA),ENTR ES-391 (P/MIMOSO DO SUL),428.3,449.7,21.4,PAV,,Vitória,101BES2590,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151906,101,ES,Eixo Principal,B,-,101BES2610,ENTR ES-391 (P/MIMOSO DO SUL),ENTR ES-297,449.7,459.3,9.6,PAV,,Vitória,101BES2610,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151907,101,ES,Eixo Principal,B,-,101BES2630,ENTR ES-297,DIV ES/RJ,459.3,462.7,3.4,PAV,,Vitória,101BES2630,Concessão Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202507A,80,|
151716,101,PB,Eixo Principal,B,-,101BPB0250,DIV RN/PB,ENTR PB-065,0,6.1,6.1,DUP,,João Pessoa,101BPB0250,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151717,101,PB,Eixo Principal,B,-,101BPB0255,ENTR PB-065,ENTR PB-071,6.1,29.9,23.8,DUP,,João Pessoa,101BPB0255,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151718,101,PB,Eixo Principal,B,-,101BPB0260,ENTR PB-071,ENTR PB-041 (MAMANGUAPE),29.9,40,10.1,DUP,,João Pessoa,101BPB0260,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151719,101,PB,Eixo Principal,B,-,101BPB0270,ENTR PB-041 (MAMANGUAPE),ENTR PB-025,40,73.5,33.5,DUP,,João Pessoa,101BPB0270,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151720,101,PB,Eixo Principal,B,-,101BPB0280,ENTR PB-025,ENTR PB-004 (P/BAYEUX),73.5,80.5,7,DUP,,João Pessoa,101BPB0280,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151721,101,PB,Eixo Principal,B,-,101BPB0290,ENTR PB-004 (P/BAYEUX),ENTR BR-101/230 (ACESSO NORTE JOÃO PESSOA),80.5,80.8,0.3,DUP,,João Pessoa,101BPB0290,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151722,101,PB,Eixo Principal,B,-,101BPB0310,ENTR BR-101/230 (ACESSO NORTE JOÃO PESSOA),ACESSO AEROPORTO,80.8,82.6,1.8,DUP,,João Pessoa,101BPB0310;230BPB0060,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151723,101,PB,Eixo Principal,B,-,101BPB0320,ACESSO AEROPORTO,ENTR BR-101/230/AV.CRUZ DAS ARMAS (JOÃO PESSOA),82.6,88.4,5.8,DUP,,João Pessoa,101BPB0320;230BPB0050,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151724,101,PB,Eixo Principal,B,-,101BPB0330,ENTR BR-101/230/AV.CRUZ DAS ARMAS (JOÃO PESSOA),DISTRITO INDUSTRIAL (TOALIA),88.4,92.4,4,DUP,,João Pessoa,101BPB0330,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151725,101,PB,Eixo Principal,B,-,101BPB0332,DISTRITO INDUSTRIAL (TOALIA),ENTR PB-018 (P/CONDE),92.4,99.4,7,DUP,,João Pessoa,101BPB0332,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151726,101,PB,Eixo Principal,B,-,101BPB0335,ENTR PB-018 (P/CONDE),ENTR PB-034,99.4,110.2,10.8,DUP,,João Pessoa,101BPB0335,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151727,101,PB,Eixo Principal,B,-,101BPB0340,ENTR PB-034,ENTR PB-044,110.2,127.3,17.1,DUP,,João Pessoa,101BPB0340,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151728,101,PB,Eixo Principal,B,-,101BPB0345,ENTR PB-044,DIV PB/PE,127.3,127.7,0.4,DUP,,João Pessoa,101BPB0345,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151729,101,PE,Eixo Principal,B,-,101BPE0350,DIV PB/PE,ENTR PE-062 (GOIANA),0,7.8,7.8,DUP,,Recife,101BPE0350,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151730,101,PE,Eixo Principal,B,-,101BPE0355,ENTR PE-062 (GOIANA),ENTR PE-049 (P/PONTAS DE PEDRAS),7.8,21,13.2,DUP,,Recife,101BPE0355,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151731,101,PE,Eixo Principal,B,-,101BPE0360,ENTR PE-049 (P/PONTAS DE PEDRAS),ENTR PE-041 (P/ARAÇOIABA),21,33.8,12.8,DUP,,Recife,101BPE0360,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151732,101,PE,Eixo Principal,B,-,101BPE0370,ENTR PE-041 (P/ARAÇOIABA),ENTR PE-035 (IGARASSÚ),33.8,41.7,7.9,DUP,,Recife,101BPE0370,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151733,101,PE,Eixo Principal,B,-,101BPE0390,ENTR PE-035 (IGARASSÚ),ENTR PE-015 (P/PAULISTA - VIADUTO SOBRE PE-015),41.7,51.7,10,DUP,,Recife,101BPE0390,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151734,101,PE,Eixo Principal,B,-,101BPE0410,ENTR PE-015 (P/PAULISTA - VIADUTO SOBRE PE-015),VIADUTO SOBRE AVENIDA CAXANGÁ,51.7,66.7,15,DUP,,Recife,101BPE0410,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151735,101,PE,Eixo Principal,B,-,101BPE0420,VIADUTO SOBRE AVENIDA CAXANGÁ,ENTR BR-101/232 (RECIFE),66.7,69.9,3.2,DUP,,Recife,101BPE0420,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151736,101,PE,Eixo Principal,B,-,101BPE0430,ENTR BR-101/232 (RECIFE),ENTR PE-007 (RECIFE),69.9,72.9,3,DUP,,Recife,101BPE0430,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151737,101,PE,Eixo Principal,B,-,101BPE0435,ENTR PE-007 (RECIFE),PRAZERES (ENTR ANTIGA BR-101),72.9,82.3,9.4,DUP,,Recife,101BPE0435,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151738,101,PE,Eixo Principal,B,-,101BPE0440,PRAZERES (ENTR ANTIGA BR-101),VIADUTO RANDOM/METALGIL,82.3,94.6,12.3,DUP,,Recife,101BPE0440,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151739,101,PE,Eixo Principal,B,-,101BPE0450,VIADUTO RANDOM/METALGIL,ENTR PE-025 (P/USINA BOM JESUS),94.6,96.7,2.1,DUP,,Recife,101BPE0450,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151740,101,PE,Eixo Principal,B,-,101BPE0460,ENTR PE-025 (P/USINA BOM JESUS),ENTR PE-037 (P/DISTRITO INDUSTRIAL DO CABO),96.7,102,5.3,DUP,,Recife,101BPE0460,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151741,101,PE,Eixo Principal,B,-,101BPE0465,ENTR PE-037 (P/DISTRITO INDUSTRIAL DO CABO),VIADUTO DA CHARNECA (ENTR ANTIGA BR-101),102,103.3,1.3,DUP,,Recife,101BPE0465,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151743,101,PE,Eixo Principal,B,-,101BPE0470,VIADUTO DA CHARNECA (ENTR ANTIGA BR-101),ENTR PE-042 (P/IPOJUCA),103.3,115.8,12.5,DUP,,Recife,101BPE0470,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151744,101,PE,Eixo Principal,B,-,101BPE0475,ENTR PE-042 (P/IPOJUCA),ENTR PE-051 (P/CAMELA),115.8,121.4,5.6,DUP,,Recife,101BPE0475,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151745,101,PE,Eixo Principal,B,-,101BPE0480,ENTR PE-051 (P/CAMELA),ENTR PE-045 (ESCADA),121.4,124.5,3.1,DUP,,Recife,101BPE0480,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151746,101,PE,Eixo Principal,B,-,101BPE0490,ENTR PE-045 (ESCADA),ENTR PE-070,124.5,128,3.5,DUP,,Recife,101BPE0490,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151747,101,PE,Eixo Principal,B,-,101BPE0495,ENTR PE-070,ENTR PE-063 (P/AMARAJI),128,136,8,DUP,,Recife,101BPE0495,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151748,101,PE,Eixo Principal,B,-,101BPE0510,ENTR PE-063 (P/AMARAJI),ENTR PE-085 (ACESSO NORTE RIBEIRÃO),136,148.6,12.6,DUP,,Recife,101BPE0510,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151749,101,PE,Eixo Principal,B,-,101BPE0530,ENTR PE-085 (ACESSO NORTE RIBEIRÃO),ACESSO OESTE RIBEIRÃO,148.6,152.2,3.6,DUP,,Recife,101BPE0530,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
162179,101,PE,Eixo Principal,B,-,101BPE0540,ACESSO OESTE RIBEIRÃO,ENTR PE-073 (P/GAMELEIRA),152.2,157.1,4.9,DUP,,Recife,101BPE0540,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151750,101,PE,Eixo Principal,B,-,101BPE0550,ENTR PE-073 (P/GAMELEIRA),ENTR PE-087/096 (PALMARES),157.1,185.5,28.4,DUP,,Recife,101BPE0550,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151751,101,PE,Eixo Principal,B,-,101BPE0570,ENTR PE-087/096 (PALMARES),ENTR PE-126 (P/CATENDE),185.5,189.1,3.6,DUP,,Recife,101BPE0570,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151752,101,PE,Eixo Principal,B,-,101BPE0575,ENTR PE-126 (P/CATENDE),ACESSO NORTE XEXÉU,189.1,203.1,14,DUP,,Recife,101BPE0575,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
