rodovia_br,uf,tipo_trecho,desc_coinc,cod,inicio ,fim ,km_inicial,km_final,extensao,superf_federal,obras,fed_coinc,administracao,ato_legal,estad_coinc,superf_estad_coinc,jurisdicao,superficie,unidade_local
104,PB,Eixo Principal,-,104BPB0220,R.BENEDITO MARINHO/FELINTO FLORENTINO (NOVA FLORESTA),R.JOSÉ SIMÃO DE ANDRADE (NOVA FLORESTA),3.2,3.8,0.6,DUP,,104BPB0220,Federal,,,,Federal,PAV,Campina Grande
104,PB,Eixo Principal,-,104BPB0222,R.JOSÉ SIMÃO DE ANDRADE (NOVA FLORESTA),ACESSO SUDESTE NOVA FLORESTA/ACESSO NOROESTE CUITÉ,3.8,5.2,1.4,PAV,,104BPB0222,Federal,,,,Federal,PAV,Campina Grande
104,PB,Eixo Principal,-,104BPB0223,ACESSO SUL NOVAFLORESTA/ACESSO NORTE CUITÉ,R.25 DE JANEIRO (CUITÉ),5.2,8.9,3.7,PAV,,104BPB0223,Federal,,,,Federal,PAV,Campina Grande
104,PB,Eixo Principal,-,104BPB0225,R.25 DE JANEIRO (CUITÉ),ENTR ESTRADA DO CAMPO COMPRIDO,8.9,15.8,6.9,PAV,,104BPB0225,Federal,,,,Federal,PAV,Campina Grande
104,PB,Eixo Principal,-,104BPB0227,ENTR ESTRADA DO CAMPO COMPRIDO,ENTR PB-137 (JACÚ),15.8,30.4,14.6,PAV,,104BPB0227,Federal,,,,Federal,PAV,Campina Grande
104,PB,Eixo Principal,-,104BPB0230,ENTR PB-137 (JACÚ),BARRA DE SANTA ROSA,30.4,44.7,14.3,PAV,,104BPB0230,Federal,,,,Federal,PAV,Campina Grande
104,PB,Eixo Principal,-,104BPB0240,BARRA DE SANTA ROSA,ENTR PB-079/105 (REMÍGIO),44.7,88.2,43.5,PAV,,104BPB0240,Federal,,,,Federal,PAV,Campina Grande
104,PB,Eixo Principal,-,104BPB0250,ENTR PB-079/105 (REMÍGIO),ESPERANÇA,88.2,97.7,9.5,PAV,,104BPB0250,Federal,,,,Federal,PAV,Campina Grande
104,PB,Eixo Principal,-,104BPB0270,ESPERANÇA,ENTR PB-097 (LAGOA SECA),97.7,113.3,15.6,PAV,,104BPB0270,Federal,,,,Federal,PAV,Campina Grande
104,PB,Eixo Principal,-,104BPB0275,ENTR PB-097 (LAGOA SECA),ACESSO CAMPINA GRANDE,113.3,120,6.7,PAV,,104BPB0275,Federal,,,,Federal,PAV,Campina Grande
104,PB,Eixo Principal,-,104BPB0280,ACESSO CAMPINA GRANDE,ENTR BR-104/230/408 (CAMPINA GRANDE),120,125.2,5.2,DUP,,104BPB0280,Federal,,,,Federal,PAV,Campina Grande
104,PB,Eixo Principal,-,104BPB0290,ENTR BR-104/230/408 (CAMPINA GRANDE),FIM DA DUPLICAÇÃO,125.2,128.1,2.9,PAV,EOD,104BPB0290;230BPB0220,Federal,,,,Federal,PAV,Campina Grande
104,PB,Eixo Principal,-,104BPB0295,FIM DA DUPLICAÇÃO,ENTR BR-104/230 (ACESSO SUL CAMPINA GRANDE),128.1,130.4,2.3,PAV,,104BPB0295;230BPB0225,Federal,,,,Federal,PAV,Campina Grande
104,PB,Eixo Principal,-,104BPB0300,ENTR BR-104/230 (ACESSO SUL CAMPINA GRANDE),ENTR PB-148 (QUEIMADAS),130.4,140,9.6,PAV,,104BPB0300,Federal,,,,Federal,PAV,Campina Grande
104,PB,Eixo Principal,-,104BPB0310,ENTR PB-148 (QUEIMADAS),ENTR PB-102 (P/AROEIRAS),140,148.6,8.6,PAV,,104BPB0310,Federal,,,,Federal,PAV,Campina Grande
104,PB,Eixo Principal,-,104BPB0320,ENTR PB-102 (P/AROEIRAS),ACESSO P/ BARRA DE SANTANA,148.6,163.2,14.6,PAV,,104BPB0320,Federal,,,,Federal,PAV,Campina Grande
104,PB,Eixo Principal,-,104BPB0322,ACESSO P/ BARRA DE SANTANA,ENTR PB-196 (P/RIACHO DE SANTO ANTÔNIO),163.2,183,19.8,PAV,,104BPB0322,Federal,,,,Federal,PAV,Campina Grande
104,PB,Eixo Principal,-,104BPB0325,ENTR PB-196 (P/RIACHO DE SANTO ANTÔNIO),DIV PB/PE,183,199.5,16.5,PAV,,104BPB0325,Federal,,,,Federal,PAV,Campina Grande
104,PE,Eixo Principal,-,104BPE0330,DIV PB/PE,ENTR PE-130 (P/TAQUARITINGA),0,11.9,11.9,PAV,,104BPE0330,Federal,,,,Federal,PAV,Caruaru
104,PE,Eixo Principal,-,104BPE0350,ENTR PE-130 (P/TAQUARITINGA),ENTR PE-160 (PÃO DE AÇÚCAR),11.9,19.7,7.8,PAV,,104BPE0350,Federal,,,,Federal,PAV,Caruaru
104,PE,Eixo Principal,-,104BPE0370,ENTR PE-160 (PÃO DE AÇÚCAR),ENTR PE-090,19.7,30.4,10.7,PAV,EOD,104BPE0370,Federal,,,,Federal,PAV,Caruaru
104,PE,Eixo Principal,-,104BPE0390,ENTR PE-090,INÍCIO PONTE S/ RIO CAPIBARIBE (TORITAMA),30.4,31,0.6,PAV,EOD,104BPE0390,Federal,,,,Federal,PAV,Caruaru
104,PE,Eixo Principal,-,104BPE0410,INÍCIO PONTE S/ RIO CAPIBARIBE (TORITAMA),ENTR PE-145 (P/FAZENDA NOVA),31,43.1,12.1,PAV,EOD,104BPE0410,Federal,,,,Federal,PAV,Caruaru
104,PE,Eixo Principal,-,104BPE0430,ENTR PE-145 (P/FAZENDA NOVA),ENTR PE-095 (P/RIACHO DAS ALMAS),43.1,62,18.9,DUP,,104BPE0430,Federal,,,,Federal,PAV,Caruaru
104,PE,Eixo Principal,-,104BPE0440,ENTR PE-095 (P/RIACHO DAS ALMAS),ENTR BR-104/232/423 (CARUARU),62,67.7,5.7,DUP,,104BPE0440,Federal,,,,Federal,PAV,Caruaru
104,PE,Eixo Principal,-,104BPE0445,ENTR BR-104/232/423 (CARUARU),ENTR ESTRADA P/ AGRESTINA,67.7,71.2,3.5,DUP,,104BPE0445,Federal,,,,Federal,PAV,Caruaru
104,PE,Eixo Principal,-,104BPE0450,ENTR ESTRADA P/ AGRESTINA,ENTR PE-149 (AGRESTINA),71.2,85.3,14.1,PAV,,104BPE0450,Federal,,,,Federal,PAV,Caruaru
104,PE,Eixo Principal,-,104BPE0470,ENTR PE-149 (AGRESTINA),ENTR PE-120 (BARRA DO RIACHÃO),85.3,87.6,2.3,PAV,,104BPE0470,Federal,,,,Federal,PAV,Caruaru
104,PE,Eixo Principal,-,104BPE0490,ENTR PE-120 (BARRA DO RIACHÃO),ENTR PE-123 (CUPIRA),87.6,105.7,18.1,PAV,,104BPE0490,Federal,,,,Federal,PAV,Caruaru
104,PE,Eixo Principal,-,104BPE0510,ENTR PE-123 (CUPIRA),ENTR PE-158,105.7,114.8,9.1,PAV,,104BPE0510,Federal,,,,Federal,PAV,Caruaru
104,PE,Eixo Principal,-,104BPE0520,ENTR PE-158,ENTR PE-126 (P/QUIPAPÁ),114.8,133.7,18.9,PAV,,104BPE0520,Federal,,,,Federal,PAV,Caruaru
104,PE,Eixo Principal,-,104BPE0530,ENTR PE-126 (P/QUIPAPÁ),ENTR PE-177 (P/GARANHUNS),133.7,138,4.3,PAV,,104BPE0530,Federal,,,,Federal,PAV,Caruaru
104,PE,Eixo Principal,-,104BPE0550,ENTR PE-177 (P/GARANHUNS),DIV PE/AL,138,146.2,8.2,PAV,,104BPE0550,Federal,,,,Federal,PAV,Caruaru
104,RN,Eixo Principal,-,104BRN0010,ENTR BR-104/406/RN-118 (MACAU),ENTR BR-104/406,0,4,4,PAV,,104BRN0010;406BRN0010,Federal,,,,Federal,PAV,Macaíba
104,RN,Eixo Principal,-,104BRN0015,ENTR BR-104/406,ENTR RN-118,4,7.8,3.8,PLA,,104BRN0015,Federal,,,,Federal,PLA,
104,RN,Eixo Principal,-,104BRN0018,ENTR RN-118,ENTR RN-118 (P/PENDÊNCIAS),7.8,18.3,10.5,PLA,,104BRN0018,Estadual,,RN-118,PAV,Estadual,PLA,
104,RN,Eixo Principal,-,104BRN0020,ENTR RN-118 (P/PENDÊNCIAS),ENTR BR-406,18.3,48.2,29.9,PLA,,104BRN0020,Federal,,,,Federal,PLA,
104,RN,Eixo Principal,-,104BRN0025,ENTR BR-406,ACESSO OESTE AFONSO BEZERRA,48.2,51.2,3,PLA,,104BRN0025,Estadual,,RN-263,PAV,Estadual,PLA,
104,RN,Eixo Principal,-,104BRN0030,ACESSO OESTE AFONSO BEZERRA,ACESSO LESTE AFONSO BEZERRA,51.2,54.4,3.2,PLA,,104BRN0030,Federal,,,,Federal,PLA,
104,RN,Eixo Principal,-,104BRN0035,ACESSO LESTE AFONSO BEZERRA,ENTR ACESSO OESTE PEDRO AVELINO,54.4,65.3,10.9,PLA,,104BRN0035,Estadual,,RN-263,PAV,Estadual,PLA,
104,RN,Eixo Principal,-,104BRN0040,ENTR ACESSO OESTE PEDRO AVELINO,ENTR ACESSO SUL PEDRO AVELINO,65.3,68.2,2.9,PLA,,104BRN0040,Federal,,,,Federal,PLA,
104,RN,Eixo Principal,-,104BRN0050,ENTR ACESSO SUL PEDRO AVELINO,ENTR BR-104/304/RN-104 (P/PEDRO AVELINO),68.2,87.7,19.5,PLA,,104BRN0050,Estadual,,RN-104,PAV,Estadual,PLA,
104,RN,Eixo Principal,-,104BRN0070,ENTR BR-104/304/RN-104 (P/PEDRO AVELINO),ENTR BR-104/304 (ACESSO OESTE LAJES),87.7,93.3,5.6,PAV,,104BRN0070;304BRN0250,Federal,,,,Federal,PAV,Macaíba
104,RN,Eixo Principal,-,104BRN0092,ENTR BR-104/304 (ACESSO OESTE LAJES),ENTR RN-104 (ACESSO SUL CERRO CORÁ),93.3,142.4,49.1,PLA,,104BRN0092,Federal,,,,Federal,PLA,
104,RN,Eixo Principal,-,104BRN0140,ENTR RN-104 (ACESSO SUL CERRO CORÁ),ENTR RN-104,142.4,146.1,3.7,PLA,,104BRN0140,Estadual,,RN-042,PAV,Estadual,PLA,
104,RN,Eixo Principal,-,104BRN0143,ENTR RN-104,ENTR RN-104,146.1,147.8,1.7,PLA,,104BRN0143,Federal,,,,Federal,PLA,
104,RN,Eixo Principal,-,104BRN0145,ENTR RN-104,ENTR RN-042/104,147.8,148.6,0.8,PLA,,104BRN0145,Estadual,,RN-042,PAV,Estadual,PLA,
104,RN,Eixo Principal,-,104BRN0147,ENTR RN-042/104,ENTR BR-104/226,148.6,162.5,13.9,PLA,,104BRN0147,Federal,,,,Federal,PLA,
104,RN,Eixo Principal,-,104BRN0150,ENTR BR-104/226,ENTR BR-104/226,162.5,175.1,12.6,PAV,,104BRN0150;226BRN0175,Federal,,,,Federal,PAV,Currais Novos
104,RN,Eixo Principal,-,104BRN0168,ENTR BR-104/226,ENTR RN-023,175.1,202.8,27.7,PLA,,104BRN0168,Federal,,,,Federal,PLA,
104,RN,Eixo Principal,-,104BRN0172,ENTR RN-023,ENTR RN-023,202.8,204.1,1.3,PLA,,104BRN0172,Estadual,,RN-023,PAV,Estadual,PLA,
104,RN,Eixo Principal,-,104BRN0180,ENTR RN-023,DIV RN/PB,204.1,207.1,3,PLA,,104BRN0180,Federal,,,,Federal,PLA,
104,PB,Contorno,-,104CPB1005,ACESSO SUL JAÇANÃ,ACESSO SUDESTE NOVA FLORESTA/ACESSO NOROESTE CUITÉ,0,4.2,4.2,PLA,,104CPB1005,Federal,,,,Federal,PLA,
104,PB,Contorno,-,104CPB2005,ACESSO SUDESTE NOVA FLORESTA/ACESSO NOROESTE CUITÉ,ENTR ESTRADA DO CAMPO COMPRIDO,0,11.2,11.2,PLA,,104CPB2005,Federal,,,,Federal,PLA,
104,PB,Contorno,-,104CPB2205,ACESSO NORTE BARRA DE STA ROSA,ACESSO SUL BARRA DE STA ROSA,0,5.3,5.3,PLA,,104CPB2205,Federal,,,,Federal,PLA,
104,PB,Contorno,-,104CPB2405,ACESSO NORTE REMÍGIO,ACESSO OESTE REMÍGIO,0,5.9,5.9,PLA,,104CPB2405,Federal,,,,Federal,PLA,
104,PB,Contorno,-,104CPB2605,ACESSO NORTE ESPERANÇA,ACESSO SUL ESPERANÇA,0,5.8,5.8,PLA,,104CPB2605,Federal,,,,Federal,PLA,
104,PB,Contorno,-,104CPB2805,ACESSO NORTE S.SEBASTIÃO LAGOA DE ROÇA,ACESSO SUL S.SEBASTIÃO LAGOA DE ROÇA,0,4.2,4.2,PLA,,104CPB2805,Federal,,,,Federal,PLA,
104,PB,Contorno,-,104CPB3005,ENTR BR-104/PB-097,ENTR BR-230 (ACESSO LESTE CAMPINA GRANDE),0,15.6,15.6,PLA,,104CPB3005,Federal,,,,Federal,PLA,
104,PB,Contorno,-,104CPB4005,ACESSO SUL S.SEBASTIÃO LAGOA DE ROÇA,ENTR PB-115,0,15.1,15.1,PLA,,104CPB4005,Federal,,,,Federal,PLA,
104,PB,Contorno,-,104CPB4010,ENTR PB-115,ACESSO OESTE SÃO JOSÉ DA MATA,15.1,21.6,6.5,PLA,,104CPB4010,Federal,,,,Federal,PLA,
104,PB,Contorno,-,104CPB6005,ACESSO NORTE QUEIMADAS,ENTR PB-148,0,6.4,6.4,PLA,,104CPB6005,Federal,,,,Federal,PLA,
104,PB,Contorno,-,104CPB6010,ENTR PB-148,ACESSO SUL QUEIMADAS,6.4,10.8,4.4,PLA,,104CPB6010,Federal,,,,Federal,PLA,
104,PE,Contorno,-,104CPE1005,ACESSO OESTE TORITAMA,ACESSO SUL TORITAMA,0,5.1,5.1,PLA,,104CPE1005,Federal,,,,Federal,PLA,
110,AL,Eixo Principal,-,110BAL0530,DIV PE/AL (INÍCIO PONTE S/RIO MOXOTÓ),FIM PONTE S/RIO MOXOTÓ,0,0.4,0.4,PAV,,110BAL0530,Federal,,,,Federal,PAV,Santana do Ipanema
110,AL,Eixo Principal,-,110BAL0535,FIM PONTE S/RIO MOXOTÓ,ENTR BR-110/423,0.4,11.9,11.5,PAV,,110BAL0535,Federal,,,,Federal,PAV,Santana do Ipanema
110,AL,Eixo Principal,-,110BAL0540,ENTR BR-110/423,INÍCIO PONTE S/RIO SÃO FRANCISCO (DIV AL/BA),11.9,16.1,4.2,PAV,,110BAL0540;423BAL0255,Federal,,,,Federal,PAV,Santana do Ipanema
110,BA,Eixo Principal,-,110BBA0550,INÍCIO PONTE S/RIO SÃO FRANCISCO (DIV AL/BA),FIM PONTE S/RIO SÃO FRANCISCO,0,0.3,0.3,PAV,,110BBA0550;423BBA0270,Federal,,,,Federal,PAV,Euclides da Cunha
110,BA,Eixo Principal,-,110BBA0560,FIM PONTE S/RIO SÃO FRANCISCO,ENTR BR-110/423/BA-210 (PAULO AFONSO),0.3,2.4,2.1,PAV,,110BBA0560;423BBA0280,Federal,,,,Federal,PAV,Euclides da Cunha
110,BA,Eixo Principal,-,110BBA0570,ENTR BR-110/423/BA-210 (PAULO AFONSO),ENTR BA-305 (P/SANTA BRÍGIDA),2.4,37.7,35.3,PAV,,110BBA0570,Federal,,,,Federal,PAV,Euclides da Cunha
110,BA,Eixo Principal,-,110BBA0572,ENTR BA-305 (P/SANTA BRÍGIDA),R.JOSEFA CAROLINA DO NASCIMENTO (JEREMOABO),37.7,75.5,37.8,PAV,,110BBA0572,Federal,,,,Federal,PAV,Euclides da Cunha
110,BA,Eixo Principal,-,110BBA0590,R.JOSEFA CAROLINA DO NASCIMENTO (JEREMOABO),ENTR BR-110/235 (ACESSO SUL JEREMOABO),75.5,80.2,4.7,PAV,,110BBA0590,Federal,,,,Federal,PAV,Euclides da Cunha
110,BA,Eixo Principal,-,110BBA0610,ENTR BR-110/235 (ACESSO SUL JEREMOABO),ENTR BA-392 (ANTAS),80.2,113.8,33.6,PAV,,110BBA0610,Federal,,,,Federal,PAV,Euclides da Cunha
110,BA,Eixo Principal,-,110BBA0612,ENTR BA-392 (ANTAS),ENTR BA-220 (CÍCERO DANTAS),113.8,141.2,27.4,PAV,,110BBA0612,Federal,,,,Federal,PAV,Euclides da Cunha
110,BA,Eixo Principal,-,110BBA0630,ENTR BA-220 (CÍCERO DANTAS),ENTR BA-393,141.2,144.6,3.4,PAV,,110BBA0630,Federal,,,,Federal,PAV,Euclides da Cunha
110,BA,Eixo Principal,-,110BBA0632,ENTR BA-393,ENTR BA-388 (P/CURRAL FALSO),144.6,163.6,19,PAV,,110BBA0632,Federal,,,,Federal,PAV,Euclides da Cunha
110,BA,Eixo Principal,-,110BBA0641,ENTR BA-388 (P/CURRAL FALSO),ENTR BR-110/410 (RIBEIRA DO POMBAL),163.6,172.1,8.5,PAV,,110BBA0641,Federal,,,,Federal,PAV,Euclides da Cunha
110,BA,Eixo Principal,-,110BBA0650,ENTR BR-110/410 (RIBEIRA DO POMBAL),ENTR BA-084 (CIPÓ),172.1,202.3,30.2,PAV,,110BBA0650,Federal,,,,Federal,PAV,Cruz das Almas
110,BA,Eixo Principal,-,110BBA0670,ENTR BA-084 (CIPÓ),ENTR BA-084 (NOVA SOURE),202.3,221.3,19,PAV,,110BBA0670,Federal,,,,Federal,PAV,Cruz das Almas
110,BA,Eixo Principal,-,110BBA0672,ENTR BA-084 (NOVA SOURE),ENTR BR-110/349 (OLINDINA),221.3,241.6,20.3,PAV,,110BBA0672,Federal,,,,Federal,PAV,Cruz das Almas
110,BA,Eixo Principal,-,110BBA0690,ENTR BR-110/349 (OLINDINA),ENTR BA-398 (P/CRISÓPOLIS),241.6,249.6,8,PAV,,110BBA0690,Federal,,,,Federal,PAV,Cruz das Almas
110,BA,Eixo Principal,-,110BBA0710,ENTR BA-398 (P/CRISÓPOLIS),ENTR BA-233 (P/ SÁTIRO DIAS),249.6,279.7,30.1,PAV,,110BBA0710,Federal,,,,Federal,PAV,Cruz das Almas
110,BA,Eixo Principal,-,110BBA0712,ENTR BA-233 (P/ SÁTIRO DIAS),ENTR BA-233 (P/ITAMIRA),279.7,282.9,3.2,PAV,,110BBA0712,Federal,,,,Federal,PAV,Cruz das Almas
110,BA,Eixo Principal,-,110BBA0714,ENTR BA-233 (P/ITAMIRA),INHAMBUPE,282.9,293.6,10.7,PAV,,110BBA0714,Federal,,,,Federal,PAV,Cruz das Almas
110,BA,Eixo Principal,-,110BBA0716,INHAMBUPE,ENTR BA-400,293.6,310.3,16.7,PAV,,110BBA0716,Federal,,,,Federal,PAV,Cruz das Almas
110,BA,Eixo Principal,-,110BBA0730,ENTR BA-400,ENTR BR-101/110,310.3,328.4,18.1,PAV,,110BBA0730,Federal,,,,Federal,PAV,Cruz das Almas
110,BA,Eixo Principal,Coinc,110BBA0750,ENTR BR-101/110,ENTR BA-504 (P/ARAÇAS),328.4,338.5,10.1,PAV,EOD,101BBA1470;110BBA0750,Federal,,,,Federal,PAV,Cruz das Almas
110,BA,Eixo Principal,Coinc,110BBA0760,ENTR BA-504 (P/ARAÇAS),ENTR BR-101/110/AV.JOSEPH WAGNER (ACESSO SUL ALAGOINHAS),338.5,341.4,2.9,PAV,EOD,101BBA1471;110BBA0760,Federal,,,,Federal,PAV,Cruz das Almas
110,BA,Eixo Principal,-,110BBA0770,ENTR BR-101/110/AV.JOSEPH WAGNER (ACESSO SUL ALAGOINHAS),ENTR BA-516 (P/BURACICA),341.4,345.9,4.5,PAV,,110BBA0770,Federal,,,,Federal,PAV,Cruz das Almas
110,BA,Eixo Principal,-,110BBA0772,ENTR BA-516 (P/BURACICA),CATÚ,345.9,368.7,22.8,PAV,,110BBA0772,Federal,,,,Federal,PAV,Cruz das Almas
110,BA,Eixo Principal,-,110BBA0774,CATÚ,ENTR BR-110/420/BA-420,368.7,372.1,3.4,PAV,,110BBA0774,Federal,,,,Federal,PAV,Cruz das Almas
110,BA,Eixo Principal,-,110BBA0790,ENTR BR-110/420/BA-420,P/CASSARONGONGO,372.1,384,11.9,PAV,,110BBA0790;420BBA0030,Federal,,,,Federal,PAV,Cruz das Almas
110,BA,Eixo Principal,-,110BBA0792,P/CASSARONGONGO,ENTR BA-512 (SÃO SEBASTIÃO DO PASSÉ),384,394.9,10.9,PAV,,110BBA0792;420BBA0035,Federal,,,,Federal,PAV,Cruz das Almas
110,BA,Eixo Principal,-,110BBA0810,ENTR BA-512 (SÃO SEBASTIÃO DO PASSÉ),ENTR BR-110/324/420/BA-523,394.9,404.6,9.7,PAV,,110BBA0810;420BBA0040,Federal,,,,Federal,PAV,Cruz das Almas
110,PB,Eixo Principal,-,110BPB0110,DIV RN/PB,ENTR PB-323 (BREJO DO CRUZ),0,26,26,PLA,,110BPB0110,Federal,,,,Federal,PLA,
110,PB,Eixo Principal,-,110BPB0120,ENTR PB-323 (BREJO DO CRUZ),ENTR PB-323,26,29.6,3.6,PLA,,110BPB0120,Estadual,,PB-293,PAV,Estadual,PLA,
110,PB,Eixo Principal,-,110BPB0130,ENTR PB-323,ENTR PB-293 (SÃO BENTO),29.6,45.2,15.6,PLA,,110BPB0130,Estadual,,PB-293,PAV,Estadual,PLA,
110,PB,Eixo Principal,-,110BPB0135,ENTR PB-293 (SÃO BENTO),DIV PB/RN,45.2,49.9,4.7,PLA,,110BPB0135,Estadual,,PB-110,LEN,Estadual,PLA,
110,PB,Eixo Principal,-,110BPB0190,DIV RN/PB,ENTR PB-275,49.9,66.4,16.5,PAV,,110BPB0190,Federal,,,,Federal,PAV,Patos
110,PB,Eixo Principal,-,110BPB0200,ENTR PB-275,ENTR BR-110/230 (ACESSO OESTE SANTA GERTRUDES),66.4,77.7,11.3,PAV,,110BPB0200,Federal,,,,Federal,PAV,Patos
110,PB,Eixo Principal,-,110BPB0208,ENTR BR-110/230 (ACESSO OESTE SANTA GERTRUDES),FIM DUPLICAÇÃO (PATOS),77.7,91.2,13.5,PAV,,110BPB0208;230BPB0340,Federal,,,,Federal,PAV,Patos
110,PB,Eixo Principal,-,110BPB0212,FIM DUPLICAÇÃO (PATOS),DISTRITO INDUSTRIAL (PATOS),91.2,92,0.8,DUP,,110BPB0212;230BPB0335,Federal,,,,Federal,PAV,Patos
110,PB,Eixo Principal,-,110BPB0215,DISTRITO INDUSTRIAL (PATOS),ENTR PB-275 (P/SÃO JOSÉ DE ESPINHARA),92,95.6,3.6,PAV,,110BPB0215;230BPB0330,Federal,,,,Federal,PAV,Patos
110,PB,Eixo Principal,-,110BPB0220,ENTR PB-275 (P/SÃO JOSÉ DE ESPINHARA),ENTR BR-110/230/361 (PATOS),95.6,96.6,1,PAV,,110BPB0220;230BPB0325,Federal,,,,Federal,PAV,Patos
110,PB,Eixo Principal,-,110BPB0225,ENTR BR-110/230/361 (PATOS),R.MANOEL MOTA (RIACHO DA CRUZ - PATOS),96.6,99.2,2.6,PLA,,110BPB0225,Federal,,,,Federal,PLA,
110,PB,Eixo Principal,-,110BPB0230,R.MANOEL MOTA (RIACHO DA CRUZ - PATOS),ENTR PB-276 (SÃO JOSÉ DO BONFIM),99.2,114,14.8,PLA,,110BPB0230,Estadual,,PB-262,PAV,Estadual,PLA,
110,PB,Eixo Principal,-,110BPB0240,ENTR PB-276 (SÃO JOSÉ DO BONFIM),TEIXEIRA,114,127.8,13.8,PLA,,110BPB0240,Estadual,,PB-262,PAV,Estadual,PLA,
110,PB,Eixo Principal,-,110BPB0250,TEIXEIRA,ENTR PB-238,127.8,129.6,1.8,PLA,,110BPB0250,Estadual,,PB-262,PAV,Estadual,PLA,
110,PB,Eixo Principal,-,110BPB0252,ENTR PB-238,ENTR PB-306,129.6,131.8,2.2,PLA,,110BPB0252,Estadual,,PB-262,PAV,Estadual,PLA,
110,PB,Eixo Principal,-,110BPB0255,ENTR PB-306,DIV PB/PE,131.8,134.1,2.3,PLA,,110BPB0255,Estadual,,PB-262,PAV,Estadual,PLA,
110,PB,Eixo Principal,-,110BPB0310,DIV PE/PB,OURO VELHO,134.1,138.6,4.5,PLA,,110BPB0310,Estadual,,PB-250,PAV,Estadual,PLA,
110,PB,Eixo Principal,-,110BPB0315,OURO VELHO,PRATA,138.6,152.1,13.5,PLA,,110BPB0315,Estadual,,PB-250,PAV,Estadual,PLA,
110,PB,Eixo Principal,-,110BPB0320,PRATA,ENTR BR-110/412/PB-250,152.1,165.7,13.6,PLA,,110BPB0320,Estadual,,PB-250,PAV,Estadual,PLA,
110,PB,Eixo Principal,-,110BPB0330,ENTR BR-110/412/PB-250,ENTR BR-110/412/PB-264 (MONTEIRO),165.7,182.4,16.7,PAV,,110BPB0330;412BPB0090,Federal,,,,Federal,PAV,Campina Grande
110,PB,Eixo Principal,-,110BPB0350,ENTR BR-110/412/PB-264 (MONTEIRO),DIV PB/PE,182.4,193.8,11.4,PAV,,110BPB0350,Federal,,,,Federal,PAV,Campina Grande
110,PE,Eixo Principal,-,110BPE0270,DIV PB/PE,ENTR PE-263 (P/ITAPETIM),0,14.2,14.2,PLA,,110BPE0270,Estadual,,Alienado,PAV,Estadual,PLA,
110,PE,Eixo Principal,-,110BPE0280,ENTR PE-263 (P/ITAPETIM),ENTR PE-320 (SÃO JOSÉ DO EGITO),14.2,24.6,10.4,PLA,,110BPE0280,Estadual,,Alienado,PAV,Estadual,PLA,
110,PE,Eixo Principal,-,110BPE0285,ENTR PE-320 (SÃO JOSÉ DO EGITO),ENTR PE-275 (P/TUPARETAMA),24.6,33.4,8.8,PLA,,110BPE0285,Estadual,,PE-275,PAV,Estadual,PLA,
110,PE,Eixo Principal,-,110BPE0290,ENTR PE-275 (P/TUPARETAMA),DIV PE/PB,33.4,45.9,12.5,PLA,,110BPE0290,Estadual,,PE-264,PAV,Estadual,PLA,
110,PE,Eixo Principal,-,110BPE0370,DIV PB/PE,ENTR PE-280 (SERTÂNIA),45.9,61.9,16,PLA,,110BPE0370,Estadual,,Alienado,PAV,Estadual,PLA,
110,PE,Eixo Principal,-,110BPE0390,ENTR PE-280 (SERTÂNIA),ENTR BR-110/232 (CRUZEIRO DO NORDESTE),61.9,93.6,31.7,PLA,,110BPE0390,Estadual,,Alienado,PAV,Estadual,PLA,
110,PE,Eixo Principal,-,110BPE0410,ENTR BR-110/232 (CRUZEIRO DO NORDESTE),ENTR PE-290/312/360 (IBIMIRIM),93.6,146.7,53.1,PAV,,110BPE0410,Federal,,,,Federal,PAV,Arcoverde
110,PE,Eixo Principal,-,110BPE0430,ENTR PE-290/312/360 (IBIMIRIM),ENTR BR-110/316/PE-355 (HOTEL DO PEBA),146.7,179.7,33,IMP,,110BPE0430,Federal,,,,Federal,N_PAV,Arcoverde
110,PE,Eixo Principal,-,110BPE0450,ENTR BR-110/316/PE-355 (HOTEL DO PEBA),ACESSO LESTE PETROLÂNDIA,179.7,217.6,37.9,IMP,,110BPE0450;316BPE0780,Federal,,,,Federal,N_PAV,Arcoverde
110,PE,Eixo Principal,-,110BPE0460,ACESSO LESTE PETROLÂNDIA,ENTR BR-110/316 (P/PETROLÂNDIA),217.6,225.2,7.6,IMP,,110BPE0460;316BPE0770,Federal,,,,Federal,N_PAV,Arcoverde
110,PE,Eixo Principal,-,110BPE0470,ENTR BR-110/316 (P/PETROLÂNDIA),ENTR PE-375 (P/TACARATU),225.2,231.2,6,PAV,,110BPE0470,Federal,,,,Federal,PAV,Salgueiro
110,PE,Eixo Principal,-,110BPE0510,ENTR PE-375 (P/TACARATU),AV.OLINDA (JATOBÁ),231.2,250.6,19.4,PAV,,110BPE0510,Federal,,,,Federal,PAV,Salgueiro
110,PE,Eixo Principal,-,110BPE0520,AV.OLINDA (JATOBÁ),DIV PE/AL (INÍCIO PONTE S/RIO MOXOTÓ),250.6,266.1,15.5,PAV,,110BPE0520,Federal,,,,Federal,PAV,Salgueiro
110,RN,Eixo Principal,-,110BRN0010,R. R. BERNARDO (AREIA BRANCA),ACESSO COMUNIDADE DE PEDRINHAS,0,4.8,4.8,PAV,,110BRN0010,Federal,,,,Federal,PAV,Mossoró
